model,target,horizon,substrategy,cum_return,ann_return,ann_excess_ret,ann_vol,sharpe,max_drawdown,oos_r2,hit_rate,n_trades
Ridge,ret_XLF_cum15,15,short,-0.3255,-0.0735,-0.0865,0.1346,-0.6428,-0.3674,-0.017375,0.3571,84
Bwd (CV),ret_XLF_cum3,3,full,0.4912,0.0805,0.0675,0.161,0.4195,-0.3508,-0.008644,0.5583,489
Bwd (CV),ret_XLF_cum3,3,long,0.6735,0.105,0.092,0.1627,0.565,-0.2941,-0.008644,0.5624,473
Bwd (CV),ret_XLF_cum3,3,short,-0.1349,-0.0277,-0.0407,0.0335,-1.2169,-0.1351,-0.008644,0.4375,16
Fwd (CV),ret_XLK_cum5,5,full,1.3146,0.1767,0.1636,0.23,0.7115,-0.2892,-0.001359,0.5767,489
Fwd (CV),ret_XLK_cum5,5,long,1.452,0.1899,0.1769,0.2357,0.7504,-0.3222,-0.001359,0.5811,475
Fwd (CV),ret_XLK_cum5,5,short,-0.0393,-0.0077,-0.0208,0.0617,-0.3364,-0.1436,-0.001359,0.4286,14
RF,ret_XLV,1,full,0.1108,0.0206,0.0076,0.0871,0.0868,-0.1396,0.004696,0.4888,489
RF,ret_XLV,1,long,0.0418,0.008,-0.005,0.0832,-0.0606,-0.1762,0.004696,0.4899,445
RF,ret_XLV,1,short,0.0662,0.0125,-0.0005,0.0259,-0.0194,-0.0211,0.004696,0.4773,44
Fwd (CV),ret_XLV_cum3,3,full,0.4611,0.0763,0.0633,0.1224,0.5166,-0.1946,0.001584,0.5297,489
Fwd (CV),ret_XLV_cum3,3,long,0.4427,0.0736,0.0606,0.1236,0.4902,-0.1792,0.001584,0.5322,481
Fwd (CV),ret_XLV_cum3,3,short,0.0076,0.0015,-0.0115,0.0221,-0.5217,-0.0407,0.001584,0.375,8
Fwd (CV),ret_XLV_cum5,5,full,0.6606,0.1033,0.0903,0.1355,0.6666,-0.158,0.007603,0.5419,489
Fwd (CV),ret_XLV_cum5,5,long,0.6029,0.0958,0.0828,0.1375,0.6018,-0.1721,0.007603,0.5426,481
Fwd (CV),ret_XLV_cum5,5,short,0.0511,0.0097,-0.0033,0.0274,-0.1206,-0.04,0.007603,0.5,8
Bwd (CV),ret_ZN,1,full,-0.1423,-0.0293,-0.0423,0.039,-1.0844,-0.1532,-0.014466,0.4131,489
Bwd (CV),ret_ZN,1,long,-0.1308,-0.0268,-0.0398,0.0378,-1.053,-0.1462,-0.014466,0.4144,473
Bwd (CV),ret_ZN,1,short,-0.0133,-0.0026,-0.0156,0.0097,-1.6007,-0.0212,-0.014466,0.375,16
Lasso,ret_ZN_cum5,5,full,-0.1427,-0.0294,-0.0424,0.0572,-0.7412,-0.1789,-0.010708,0.454,489
Lasso,ret_ZN_cum5,5,long,-0.1953,-0.0413,-0.0543,0.0405,-1.3387,-0.2155,-0.010708,0.3228,158
Lasso,ret_ZN_cum5,5,short,0.0737,0.0139,0.0009,0.0513,0.0167,-0.0769,-0.010708,0.5166,331
PLS,ret_ZT,1,full,-0.011,-0.0021,-0.0152,0.0123,-1.2308,-0.0308,-0.000183,0.4274,489
PLS,ret_ZT,1,long,-0.011,-0.0021,-0.0152,0.0123,-1.2308,-0.0308,-0.000183,0.4274,489
PLS,ret_ZT,1,short,0.0,0.0,-0.013,0.0,,0.0,-0.000183,,0
RF,ret_ZT_cum10,10,full,-0.0569,-0.0113,-0.0243,0.0147,-1.6489,-0.0639,-0.002997,0.4476,487
RF,ret_ZT_cum10,10,long,-0.0735,-0.0147,-0.0277,0.0162,-1.7113,-0.1001,-0.002997,0.4167,264
RF,ret_ZT_cum10,10,short,0.0159,0.0031,-0.01,0.0174,-0.5724,-0.0348,-0.002997,0.4843,223
Lasso,ret_ZT_cum15,15,full,-0.0907,-0.0183,-0.0313,0.0193,-1.6225,-0.0924,-0.002424,0.4132,484
Lasso,ret_ZT_cum15,15,long,-0.075,-0.015,-0.028,0.0104,-2.7026,-0.0777,-0.002424,0.3279,183
Lasso,ret_ZT_cum15,15,short,-0.0161,-0.0031,-0.0162,0.0167,-0.9694,-0.0341,-0.002424,0.4651,301
PLS,ret_ZT_cum3,3,full,-0.0574,-0.0114,-0.0244,0.0171,-1.4268,-0.0773,-0.001149,0.4847,489
PLS,ret_ZT_cum3,3,long,-0.0574,-0.0114,-0.0244,0.0171,-1.4268,-0.0773,-0.001149,0.4847,489
PLS,ret_ZT_cum3,3,short,0.0,0.0,-0.013,0.0,,0.0,-0.001149,,0
Lasso,ret_ZT_cum5,5,full,-0.0595,-0.0118,-0.0248,0.019,-1.3059,-0.0896,-0.001444,0.454,489
Lasso,ret_ZT_cum5,5,long,-0.0595,-0.0118,-0.0248,0.019,-1.3059,-0.0896,-0.001444,0.454,489
Lasso,ret_ZT_cum5,5,short,0.0,0.0,-0.013,0.0,,0.0,-0.001444,,0
