Asset,Horizon,Model,Feature,Rank
CADUSD,cum5,RF,surp_avghourlyearnings,0
CADUSD,cum5,RF,surp_indprod,0
CADUSD,cum5,RF,surp_fedratedec,0
CADUSD,spot,LGB,VIXCLS,15
CADUSD,spot,LGB,surp_nfp,14
CADUSD,spot,LGB,surp_unemp,13
CADUSD,spot,LGB,surp_corecpi,12
CADUSD,spot,LGB,surp_gdp,11
CADUSD,spot,LGB,surp_retsales,10
CADUSD,spot,LGB,surp_ism_pmi,9
CADUSD,spot,LGB,surp_dgorders,8
CADUSD,spot,LGB,surp_newhomesales,7
CADUSD,spot,LGB,surp_consconfid,6
CADUSD,spot,LGB,surp_avghourlyearnings,5
CADUSD,spot,LGB,surp_cpi,4
CADUSD,spot,LGB,surp_tradebal,3
CADUSD,spot,LGB,surp_indprod,2
CADUSD,spot,LGB,surp_fedratedec,1
CADUSD,spot,RF,VIXCLS,15
CADUSD,spot,RF,surp_dgorders,14
CADUSD,spot,RF,surp_corecpi,13
CADUSD,spot,RF,surp_nfp,12
CADUSD,spot,RF,surp_ism_pmi,11
CADUSD,spot,RF,surp_tradebal,10
CADUSD,spot,RF,surp_consconfid,9
CADUSD,spot,RF,surp_newhomesales,8
CADUSD,spot,RF,surp_avghourlyearnings,7
CADUSD,spot,RF,surp_cpi,6
CADUSD,spot,RF,surp_retsales,5
CADUSD,spot,RF,surp_indprod,4
CADUSD,spot,RF,surp_unemp,3
CADUSD,spot,RF,surp_gdp,2
CADUSD,spot,RF,surp_fedratedec,1
EURUSD,cum10,LGB,VIXCLS,2
EURUSD,cum10,LGB,surp_nfp,1
EURUSD,cum10,LGB,surp_unemp,0
EURUSD,cum10,LGB,surp_corecpi,0
EURUSD,cum10,LGB,surp_gdp,0
EURUSD,cum10,LGB,surp_retsales,0
EURUSD,cum10,LGB,surp_ism_pmi,0
EURUSD,cum10,LGB,surp_dgorders,0
EURUSD,cum10,LGB,surp_newhomesales,0
EURUSD,cum10,LGB,surp_consconfid,0
EURUSD,cum10,LGB,surp_avghourlyearnings,0
EURUSD,cum10,LGB,surp_cpi,0
EURUSD,cum10,LGB,surp_tradebal,0
EURUSD,cum10,LGB,surp_indprod,0
EURUSD,cum10,LGB,surp_fedratedec,0
EURUSD,cum10,RF,VIXCLS,2
EURUSD,cum10,RF,surp_nfp,1
EURUSD,cum10,RF,surp_unemp,0
EURUSD,cum10,RF,surp_corecpi,0
EURUSD,cum10,RF,surp_gdp,0
EURUSD,cum10,RF,surp_retsales,0
EURUSD,cum10,RF,surp_ism_pmi,0
EURUSD,cum10,RF,surp_dgorders,0
EURUSD,cum10,RF,surp_newhomesales,0
EURUSD,cum10,RF,surp_consconfid,0
EURUSD,cum10,RF,surp_avghourlyearnings,0
EURUSD,cum10,RF,surp_cpi,0
EURUSD,cum10,RF,surp_tradebal,0
EURUSD,cum10,RF,surp_indprod,0
EURUSD,cum10,RF,surp_fedratedec,0
EURUSD,cum15,LGB,VIXCLS,2
EURUSD,cum15,LGB,surp_nfp,1
EURUSD,cum15,LGB,surp_unemp,0
EURUSD,cum15,LGB,surp_corecpi,0
EURUSD,cum15,LGB,surp_gdp,0
EURUSD,cum15,LGB,surp_retsales,0
EURUSD,cum15,LGB,surp_ism_pmi,0
EURUSD,cum15,LGB,surp_dgorders,0
EURUSD,cum15,LGB,surp_newhomesales,0
EURUSD,cum15,LGB,surp_consconfid,0
EURUSD,cum15,LGB,surp_avghourlyearnings,0
EURUSD,cum15,LGB,surp_cpi,0
EURUSD,cum15,LGB,surp_tradebal,0
EURUSD,cum15,LGB,surp_indprod,0
EURUSD,cum15,LGB,surp_fedratedec,0
EURUSD,cum15,RF,VIXCLS,2
EURUSD,cum15,RF,surp_nfp,1
EURUSD,cum15,RF,surp_unemp,0
EURUSD,cum15,RF,surp_corecpi,0
EURUSD,cum15,RF,surp_gdp,0
EURUSD,cum15,RF,surp_retsales,0
EURUSD,cum15,RF,surp_ism_pmi,0
EURUSD,cum15,RF,surp_dgorders,0
EURUSD,cum15,RF,surp_newhomesales,0
EURUSD,cum15,RF,surp_consconfid,0
EURUSD,cum15,RF,surp_avghourlyearnings,0
EURUSD,cum15,RF,surp_cpi,0
EURUSD,cum15,RF,surp_tradebal,0
EURUSD,cum15,RF,surp_indprod,0
EURUSD,cum15,RF,surp_fedratedec,0
EURUSD,cum3,LGB,VIXCLS,2
EURUSD,cum3,LGB,surp_nfp,1
EURUSD,cum3,LGB,surp_unemp,0
EURUSD,cum3,LGB,surp_corecpi,0
EURUSD,cum3,LGB,surp_gdp,0
EURUSD,cum3,LGB,surp_retsales,0
EURUSD,cum3,LGB,surp_ism_pmi,0
EURUSD,cum3,LGB,surp_dgorders,0
EURUSD,cum3,LGB,surp_newhomesales,0
EURUSD,cum3,LGB,surp_consconfid,0
EURUSD,cum3,LGB,surp_avghourlyearnings,0
EURUSD,cum3,LGB,surp_cpi,0
EURUSD,cum3,LGB,surp_tradebal,0
EURUSD,cum3,LGB,surp_indprod,0
EURUSD,cum3,LGB,surp_fedratedec,0
EURUSD,cum3,RF,VIXCLS,2
EURUSD,cum3,RF,surp_nfp,1
EURUSD,cum3,RF,surp_unemp,0
EURUSD,cum3,RF,surp_corecpi,0
EURUSD,cum3,RF,surp_gdp,0
EURUSD,cum3,RF,surp_retsales,0
EURUSD,cum3,RF,surp_ism_pmi,0
EURUSD,cum3,RF,surp_dgorders,0
EURUSD,cum3,RF,surp_newhomesales,0
EURUSD,cum3,RF,surp_consconfid,0
EURUSD,cum3,RF,surp_avghourlyearnings,0
EURUSD,cum3,RF,surp_cpi,0
EURUSD,cum3,RF,surp_tradebal,0
EURUSD,cum3,RF,surp_indprod,0
EURUSD,cum3,RF,surp_fedratedec,0
EURUSD,cum5,LGB,VIXCLS,10
EURUSD,cum5,LGB,surp_nfp,9
EURUSD,cum5,LGB,surp_unemp,8
EURUSD,cum5,LGB,surp_corecpi,7
EURUSD,cum5,LGB,surp_gdp,6
EURUSD,cum5,LGB,surp_retsales,5
EURUSD,cum5,LGB,surp_ism_pmi,4
EURUSD,cum5,LGB,surp_dgorders,3
EURUSD,cum5,LGB,surp_newhomesales,2
EURUSD,cum5,LGB,surp_consconfid,1
EURUSD,cum5,LGB,surp_avghourlyearnings,0
EURUSD,cum5,LGB,surp_cpi,0
EURUSD,cum5,LGB,surp_tradebal,0
EURUSD,cum5,LGB,surp_indprod,0
EURUSD,cum5,LGB,surp_fedratedec,0
EURUSD,cum5,RF,VIXCLS,10
EURUSD,cum5,RF,surp_ism_pmi,9
EURUSD,cum5,RF,surp_nfp,8
EURUSD,cum5,RF,surp_consconfid,7
EURUSD,cum5,RF,surp_tradebal,6
EURUSD,cum5,RF,surp_dgorders,5
EURUSD,cum5,RF,surp_retsales,4
EURUSD,cum5,RF,surp_newhomesales,3
EURUSD,cum5,RF,surp_corecpi,2
EURUSD,cum5,RF,surp_indprod,1
EURUSD,cum5,RF,surp_unemp,0
EURUSD,cum5,RF,surp_gdp,0
EURUSD,cum5,RF,surp_avghourlyearnings,0
EURUSD,cum5,RF,surp_cpi,0
EURUSD,cum5,RF,surp_fedratedec,0
EURUSD,spot,LGB,VIXCLS,15
EURUSD,spot,LGB,surp_nfp,14
EURUSD,spot,LGB,surp_tradebal,13
EURUSD,spot,LGB,surp_ism_pmi,12
EURUSD,spot,LGB,surp_newhomesales,11
EURUSD,spot,LGB,surp_consconfid,10
EURUSD,spot,LGB,surp_retsales,9
EURUSD,spot,LGB,surp_dgorders,8
EURUSD,spot,LGB,surp_indprod,7
EURUSD,spot,LGB,surp_unemp,6
EURUSD,spot,LGB,surp_avghourlyearnings,5
EURUSD,spot,LGB,surp_corecpi,4
EURUSD,spot,LGB,surp_gdp,3
EURUSD,spot,LGB,surp_cpi,2
EURUSD,spot,LGB,surp_fedratedec,1
EURUSD,spot,RF,VIXCLS,15
EURUSD,spot,RF,surp_nfp,14
EURUSD,spot,RF,surp_avghourlyearnings,13
EURUSD,spot,RF,surp_unemp,12
EURUSD,spot,RF,surp_tradebal,11
EURUSD,spot,RF,surp_consconfid,10
EURUSD,spot,RF,surp_retsales,9
EURUSD,spot,RF,surp_ism_pmi,8
EURUSD,spot,RF,surp_dgorders,7
EURUSD,spot,RF,surp_newhomesales,6
EURUSD,spot,RF,surp_corecpi,5
EURUSD,spot,RF,surp_indprod,4
EURUSD,spot,RF,surp_cpi,3
EURUSD,spot,RF,surp_gdp,2
EURUSD,spot,RF,surp_fedratedec,1
GBPUSD,cum10,LGB,VIXCLS,2
GBPUSD,cum10,LGB,surp_nfp,1
GBPUSD,cum10,LGB,surp_unemp,0
GBPUSD,cum10,LGB,surp_corecpi,0
GBPUSD,cum10,LGB,surp_gdp,0
GBPUSD,cum10,LGB,surp_retsales,0
GBPUSD,cum10,LGB,surp_ism_pmi,0
GBPUSD,cum10,LGB,surp_dgorders,0
GBPUSD,cum10,LGB,surp_newhomesales,0
GBPUSD,cum10,LGB,surp_consconfid,0
GBPUSD,cum10,LGB,surp_avghourlyearnings,0
GBPUSD,cum10,LGB,surp_cpi,0
GBPUSD,cum10,LGB,surp_tradebal,0
GBPUSD,cum10,LGB,surp_indprod,0
GBPUSD,cum10,LGB,surp_fedratedec,0
GBPUSD,cum10,RF,VIXCLS,10
GBPUSD,cum10,RF,surp_newhomesales,9
GBPUSD,cum10,RF,surp_dgorders,8
GBPUSD,cum10,RF,surp_tradebal,7
GBPUSD,cum10,RF,surp_retsales,6
GBPUSD,cum10,RF,surp_nfp,5
GBPUSD,cum10,RF,surp_unemp,4
GBPUSD,cum10,RF,surp_ism_pmi,3
GBPUSD,cum10,RF,surp_consconfid,2
GBPUSD,cum10,RF,surp_corecpi,1
GBPUSD,cum10,RF,surp_gdp,0
GBPUSD,cum10,RF,surp_avghourlyearnings,0
GBPUSD,cum10,RF,surp_cpi,0
GBPUSD,cum10,RF,surp_indprod,0
GBPUSD,cum10,RF,surp_fedratedec,0
GBPUSD,cum15,LGB,VIXCLS,2
GBPUSD,cum15,LGB,surp_nfp,1
GBPUSD,cum15,LGB,surp_unemp,0
GBPUSD,cum15,LGB,surp_corecpi,0
GBPUSD,cum15,LGB,surp_gdp,0
GBPUSD,cum15,LGB,surp_retsales,0
GBPUSD,cum15,LGB,surp_ism_pmi,0
GBPUSD,cum15,LGB,surp_dgorders,0
GBPUSD,cum15,LGB,surp_newhomesales,0
GBPUSD,cum15,LGB,surp_consconfid,0
GBPUSD,cum15,LGB,surp_avghourlyearnings,0
GBPUSD,cum15,LGB,surp_cpi,0
GBPUSD,cum15,LGB,surp_tradebal,0
GBPUSD,cum15,LGB,surp_indprod,0
GBPUSD,cum15,LGB,surp_fedratedec,0
GBPUSD,cum15,RF,VIXCLS,10
GBPUSD,cum15,RF,surp_tradebal,9
GBPUSD,cum15,RF,surp_nfp,8
GBPUSD,cum15,RF,surp_ism_pmi,7
GBPUSD,cum15,RF,surp_dgorders,6
GBPUSD,cum15,RF,surp_retsales,5
GBPUSD,cum15,RF,surp_consconfid,4
GBPUSD,cum15,RF,surp_newhomesales,3
GBPUSD,cum15,RF,surp_cpi,2
GBPUSD,cum15,RF,surp_indprod,1
GBPUSD,cum15,RF,surp_unemp,0
GBPUSD,cum15,RF,surp_corecpi,0
GBPUSD,cum15,RF,surp_gdp,0
GBPUSD,cum15,RF,surp_avghourlyearnings,0
GBPUSD,cum15,RF,surp_fedratedec,0
GBPUSD,cum3,LGB,VIXCLS,2
GBPUSD,cum3,LGB,surp_nfp,1
GBPUSD,cum3,LGB,surp_unemp,0
GBPUSD,cum3,LGB,surp_corecpi,0
GBPUSD,cum3,LGB,surp_gdp,0
GBPUSD,cum3,LGB,surp_retsales,0
GBPUSD,cum3,LGB,surp_ism_pmi,0
GBPUSD,cum3,LGB,surp_dgorders,0
GBPUSD,cum3,LGB,surp_newhomesales,0
GBPUSD,cum3,LGB,surp_consconfid,0
GBPUSD,cum3,LGB,surp_avghourlyearnings,0
GBPUSD,cum3,LGB,surp_cpi,0
GBPUSD,cum3,LGB,surp_tradebal,0
GBPUSD,cum3,LGB,surp_indprod,0
GBPUSD,cum3,LGB,surp_fedratedec,0
GBPUSD,cum3,RF,VIXCLS,10
GBPUSD,cum3,RF,surp_corecpi,9
GBPUSD,cum3,RF,surp_newhomesales,8
GBPUSD,cum3,RF,surp_nfp,7
GBPUSD,cum3,RF,surp_dgorders,6
GBPUSD,cum3,RF,surp_retsales,5
GBPUSD,cum3,RF,surp_consconfid,4
GBPUSD,cum3,RF,surp_unemp,3
GBPUSD,cum3,RF,surp_tradebal,2
GBPUSD,cum3,RF,surp_indprod,1
GBPUSD,cum3,RF,surp_gdp,0
GBPUSD,cum3,RF,surp_ism_pmi,0
GBPUSD,cum3,RF,surp_avghourlyearnings,0
GBPUSD,cum3,RF,surp_cpi,0
GBPUSD,cum3,RF,surp_fedratedec,0
GBPUSD,cum5,LGB,VIXCLS,2
GBPUSD,cum5,LGB,surp_nfp,1
GBPUSD,cum5,LGB,surp_unemp,0
GBPUSD,cum5,LGB,surp_corecpi,0
GBPUSD,cum5,LGB,surp_gdp,0
GBPUSD,cum5,LGB,surp_retsales,0
GBPUSD,cum5,LGB,surp_ism_pmi,0
GBPUSD,cum5,LGB,surp_dgorders,0
GBPUSD,cum5,LGB,surp_newhomesales,0
GBPUSD,cum5,LGB,surp_consconfid,0
GBPUSD,cum5,LGB,surp_avghourlyearnings,0
GBPUSD,cum5,LGB,surp_cpi,0
GBPUSD,cum5,LGB,surp_tradebal,0
GBPUSD,cum5,LGB,surp_indprod,0
GBPUSD,cum5,LGB,surp_fedratedec,0
GBPUSD,cum5,RF,VIXCLS,10
GBPUSD,cum5,RF,surp_corecpi,9
GBPUSD,cum5,RF,surp_newhomesales,8
GBPUSD,cum5,RF,surp_ism_pmi,7
GBPUSD,cum5,RF,surp_tradebal,6
GBPUSD,cum5,RF,surp_consconfid,5
GBPUSD,cum5,RF,surp_dgorders,4
GBPUSD,cum5,RF,surp_cpi,3
GBPUSD,cum5,RF,surp_retsales,2
GBPUSD,cum5,RF,surp_indprod,1
GBPUSD,cum5,RF,surp_nfp,0
GBPUSD,cum5,RF,surp_unemp,0
GBPUSD,cum5,RF,surp_gdp,0
GBPUSD,cum5,RF,surp_avghourlyearnings,0
GBPUSD,cum5,RF,surp_fedratedec,0
GBPUSD,spot,LGB,VIXCLS,15
GBPUSD,spot,LGB,surp_nfp,14
GBPUSD,spot,LGB,surp_unemp,13
GBPUSD,spot,LGB,surp_corecpi,12
GBPUSD,spot,LGB,surp_gdp,11
GBPUSD,spot,LGB,surp_retsales,10
GBPUSD,spot,LGB,surp_ism_pmi,9
