Asset,Horizon,Model,Feature,Rank,MaxRank
GBPUSD,spot,Fwd (Cp),surp_gdp,14,14
GBPUSD,spot,Fwd (Cp),surp_retsales,8,14
GBPUSD,spot,Fwd (Cp),surp_ism_pmi,0,14
GBPUSD,spot,Fwd (Cp),surp_dgorders,10,14
GBPUSD,spot,Fwd (Cp),surp_newhomesales,0,14
GBPUSD,spot,Fwd (Cp),surp_consconfid,9,14
GBPUSD,spot,Fwd (Cp),surp_avghourlyearnings,13,14
GBPUSD,spot,Fwd (Cp),surp_cpi,0,14
GBPUSD,spot,Fwd (Cp),surp_tradebal,0,14
GBPUSD,spot,Fwd (Cp),surp_indprod,0,14
GBPUSD,spot,Fwd (Cp),surp_fedratedec,0,14
GBPUSD,spot,Fwd (CV),surp_nfp,0,14
GBPUSD,spot,Fwd (CV),surp_unemp,0,14
GBPUSD,spot,Fwd (CV),surp_corecpi,0,14
GBPUSD,spot,Fwd (CV),surp_gdp,0,14
GBPUSD,spot,Fwd (CV),surp_retsales,0,14
GBPUSD,spot,Fwd (CV),surp_ism_pmi,0,14
GBPUSD,spot,Fwd (CV),surp_dgorders,0,14
GBPUSD,spot,Fwd (CV),surp_newhomesales,0,14
GBPUSD,spot,Fwd (CV),surp_consconfid,0,14
GBPUSD,spot,Fwd (CV),surp_avghourlyearnings,0,14
GBPUSD,spot,Fwd (CV),surp_cpi,0,14
GBPUSD,spot,Fwd (CV),surp_tradebal,0,14
GBPUSD,spot,Fwd (CV),surp_indprod,0,14
GBPUSD,spot,Fwd (CV),surp_fedratedec,0,14
GBPUSD,spot,Bwd (Cp),surp_nfp,6,14
GBPUSD,spot,Bwd (Cp),surp_unemp,10,14
GBPUSD,spot,Bwd (Cp),surp_corecpi,11,14
GBPUSD,spot,Bwd (Cp),surp_gdp,13,14
GBPUSD,spot,Bwd (Cp),surp_retsales,9,14
GBPUSD,spot,Bwd (Cp),surp_ism_pmi,0,14
GBPUSD,spot,Bwd (Cp),surp_dgorders,8,14
GBPUSD,spot,Bwd (Cp),surp_newhomesales,0,14
GBPUSD,spot,Bwd (Cp),surp_consconfid,7,14
GBPUSD,spot,Bwd (Cp),surp_avghourlyearnings,12,14
GBPUSD,spot,Bwd (Cp),surp_cpi,0,14
GBPUSD,spot,Bwd (Cp),surp_tradebal,0,14
GBPUSD,spot,Bwd (Cp),surp_indprod,0,14
GBPUSD,spot,Bwd (Cp),surp_fedratedec,14,14
GBPUSD,spot,Bwd (CV),surp_nfp,0,14
GBPUSD,spot,Bwd (CV),surp_unemp,0,14
GBPUSD,spot,Bwd (CV),surp_corecpi,0,14
GBPUSD,spot,Bwd (CV),surp_gdp,0,14
GBPUSD,spot,Bwd (CV),surp_retsales,0,14
GBPUSD,spot,Bwd (CV),surp_ism_pmi,0,14
GBPUSD,spot,Bwd (CV),surp_dgorders,0,14
GBPUSD,spot,Bwd (CV),surp_newhomesales,0,14
GBPUSD,spot,Bwd (CV),surp_consconfid,0,14
GBPUSD,spot,Bwd (CV),surp_avghourlyearnings,0,14
GBPUSD,spot,Bwd (CV),surp_cpi,0,14
GBPUSD,spot,Bwd (CV),surp_tradebal,0,14
GBPUSD,spot,Bwd (CV),surp_indprod,0,14
GBPUSD,spot,Bwd (CV),surp_fedratedec,0,14
GBPUSD,spot,Lasso,surp_nfp,0,14
GBPUSD,spot,Lasso,surp_unemp,0,14
GBPUSD,spot,Lasso,surp_corecpi,0,14
GBPUSD,spot,Lasso,surp_gdp,0,14
GBPUSD,spot,Lasso,surp_retsales,0,14
GBPUSD,spot,Lasso,surp_ism_pmi,0,14
GBPUSD,spot,Lasso,surp_dgorders,0,14
GBPUSD,spot,Lasso,surp_newhomesales,0,14
GBPUSD,spot,Lasso,surp_consconfid,0,14
GBPUSD,spot,Lasso,surp_avghourlyearnings,0,14
GBPUSD,spot,Lasso,surp_cpi,0,14
GBPUSD,spot,Lasso,surp_tradebal,0,14
GBPUSD,spot,Lasso,surp_indprod,0,14
GBPUSD,spot,Lasso,surp_fedratedec,0,14
GBPUSD,spot,Ridge,surp_nfp,0,14
GBPUSD,spot,Ridge,surp_unemp,0,14
GBPUSD,spot,Ridge,surp_corecpi,0,14
GBPUSD,spot,Ridge,surp_gdp,0,14
GBPUSD,spot,Ridge,surp_retsales,0,14
GBPUSD,spot,Ridge,surp_ism_pmi,0,14
GBPUSD,spot,Ridge,surp_dgorders,0,14
