Method,ret_XLE,ret_XLF
AR(1) benchmark,-0.009225265979719843,-0.020374385898590752
Fwd (Cp),-0.006653207773634984,-0.020374385898590752
Fwd (CV),0.0,-0.020374385898590752
Bwd (Cp),-0.006653207773634984,-0.020374385898590752
Bwd (CV),0.0,-0.020374385898590752
Best Sub (Cp),-0.006908777751723827,-0.020374385898590752
Ridge,6.795424223327018e-10,-0.013916086333771283
Lasso,0.0,-0.0001435980168060791
PCR,0.0004324639629154081,-0.027571087937624306
PLS,-0.0027225383230375932,-0.02598174394783226
