model,target,horizon,substrategy,cum_return,ann_return,ann_excess_ret,ann_vol,sharpe,max_drawdown,oos_r2,hit_rate,n_trades,net_cum_return,net_ann_return,net_ann_excess_ret,net_ann_vol,net_sharpe,net_max_drawdown,net_oos_r2,net_hit_rate,net_n_trades
Fwd (CV),ret_XLK_cum5,5,short,-0.0393,-0.0077,-0.0208,0.0617,-0.3364,-0.1436,-0.001359,0.4286,14,-0.0659,-0.0131,-0.0261,0.0618,-0.4227,-0.1497,-0.001359,0.4286,14
RF,ret_XLV,1,full,0.1108,0.0206,0.0076,0.0871,0.0868,-0.1396,0.004696,0.4888,489,-0.5826,-0.1558,-0.1688,0.0881,-1.9154,-0.5944,0.004696,0.4888,489
RF,ret_XLV,1,long,0.0418,0.008,-0.005,0.0832,-0.0606,-0.1762,0.004696,0.4899,445,-0.5725,-0.1519,-0.1649,0.0844,-1.9546,-0.5846,0.004696,0.4899,445
RF,ret_XLV,1,short,0.0662,0.0125,-0.0005,0.0259,-0.0194,-0.0211,0.004696,0.4773,44,-0.0235,-0.0046,-0.0176,0.0256,-0.6884,-0.0401,0.004696,0.4773,44
Fwd (CV),ret_XLV_cum3,3,full,0.4611,0.0763,0.0633,0.1224,0.5166,-0.1946,0.001584,0.5297,489,-0.2601,-0.0567,-0.0697,0.1226,-0.5689,-0.4215,0.001584,0.5297,489
Fwd (CV),ret_XLV_cum3,3,long,0.4427,0.0736,0.0606,0.1236,0.4902,-0.1792,0.001584,0.5322,481,-0.2636,-0.0576,-0.0706,0.1239,-0.5701,-0.427,0.001584,0.5322,481
Fwd (CV),ret_XLV_cum3,3,short,0.0076,0.0015,-0.0115,0.0221,-0.5217,-0.0407,0.001584,0.375,8,-0.0083,-0.0016,-0.0146,0.0219,-0.6675,-0.0511,0.001584,0.375,8
Fwd (CV),ret_XLV_cum5,5,full,0.6606,0.1033,0.0903,0.1355,0.6666,-0.158,0.007603,0.5419,489,0.0207,0.004,-0.009,0.1357,-0.0666,-0.2668,0.007603,0.5419,489
Fwd (CV),ret_XLV_cum5,5,long,0.6029,0.0958,0.0828,0.1375,0.6018,-0.1721,0.007603,0.5426,481,-0.0163,-0.0032,-0.0162,0.1378,-0.1175,-0.2974,0.007603,0.5426,481
Fwd (CV),ret_XLV_cum5,5,short,0.0511,0.0097,-0.0033,0.0274,-0.1206,-0.04,0.007603,0.5,8,0.0344,0.0066,-0.0064,0.0273,-0.2353,-0.042,0.007603,0.5,8
Bwd (CV),ret_ZN,1,full,-0.1423,-0.0293,-0.0423,0.039,-1.0844,-0.1532,-0.014466,0.4131,489,-0.6779,-0.1972,-0.2102,0.0428,-4.9085,-0.6779,-0.014466,0.4131,489
Bwd (CV),ret_ZN,1,long,-0.1308,-0.0268,-0.0398,0.0378,-1.053,-0.1462,-0.014466,0.4144,473,-0.6629,-0.1901,-0.2031,0.0416,-4.8814,-0.6629,-0.014466,0.4144,473
Bwd (CV),ret_ZN,1,short,-0.0133,-0.0026,-0.0156,0.0097,-1.6007,-0.0212,-0.014466,0.375,16,-0.0444,-0.0088,-0.0218,0.0108,-2.0107,-0.0444,-0.014466,0.375,16
Lasso,ret_ZN_cum5,5,full,-0.1427,-0.0294,-0.0424,0.0572,-0.7412,-0.1789,-0.010708,0.454,489,-0.4732,-0.1168,-0.1298,0.0575,-2.2567,-0.4739,-0.010708,0.454,489
Lasso,ret_ZN_cum5,5,long,-0.1953,-0.0413,-0.0543,0.0405,-1.3387,-0.2155,-0.010708,0.3228,158,-0.3297,-0.0746,-0.0876,0.041,-2.1375,-0.3371,-0.010708,0.3228,158
Lasso,ret_ZN_cum5,5,short,0.0737,0.0139,0.0009,0.0513,0.0167,-0.0769,-0.010708,0.5166,331,-0.2517,-0.0546,-0.0677,0.0516,-1.3115,-0.2538,-0.010708,0.5166,331
PLS,ret_ZT,1,full,-0.011,-0.0021,-0.0152,0.0123,-1.2308,-0.0308,-0.000183,0.4274,489,-0.6285,-0.1746,-0.1876,0.0198,-9.457,-0.6285,-0.000183,0.4274,489
PLS,ret_ZT,1,long,-0.011,-0.0021,-0.0152,0.0123,-1.2308,-0.0308,-0.000183,0.4274,489,-0.6285,-0.1746,-0.1876,0.0198,-9.457,-0.6285,-0.000183,0.4274,489
PLS,ret_ZT,1,short,0.0,0.0,-0.013,0.0,,0.0,-0.000183,,0,0.0,0.0,-0.013,0.0,,0.0,-0.000183,,0
RF,ret_ZT_cum10,10,full,-0.0569,-0.0113,-0.0243,0.0147,-1.6489,-0.0639,-0.002997,0.4476,487,-0.2672,-0.0585,-0.0715,0.015,-4.7797,-0.2672,-0.002997,0.4476,487
RF,ret_ZT_cum10,10,long,-0.0735,-0.0147,-0.0277,0.0162,-1.7113,-0.1001,-0.002997,0.4167,264,-0.2506,-0.0544,-0.0674,0.0167,-4.0461,-0.2506,-0.002997,0.4167,264
RF,ret_ZT_cum10,10,short,0.0159,0.0031,-0.01,0.0174,-0.5724,-0.0348,-0.002997,0.4843,223,-0.1562,-0.0324,-0.0454,0.0177,-2.5612,-0.1606,-0.002997,0.4843,223
Lasso,ret_ZT_cum15,15,full,-0.0907,-0.0183,-0.0313,0.0193,-1.6225,-0.0924,-0.002424,0.4132,484,-0.2357,-0.0508,-0.0638,0.0193,-3.2968,-0.2357,-0.002424,0.4132,484
Lasso,ret_ZT_cum15,15,long,-0.075,-0.015,-0.028,0.0104,-2.7026,-0.0777,-0.002424,0.3279,183,-0.1392,-0.0286,-0.0417,0.0105,-3.9533,-0.1392,-0.002424,0.3279,183
Lasso,ret_ZT_cum15,15,short,-0.0161,-0.0031,-0.0162,0.0167,-0.9694,-0.0341,-0.002424,0.4651,301,-0.1154,-0.0235,-0.0365,0.0168,-2.1782,-0.1218,-0.002424,0.4651,301
PLS,ret_ZT_cum3,3,full,-0.0574,-0.0114,-0.0244,0.0171,-1.4268,-0.0773,-0.001149,0.4847,489,-0.5228,-0.1336,-0.1466,0.0183,-8.0111,-0.5228,-0.001149,0.4847,489
PLS,ret_ZT_cum3,3,long,-0.0574,-0.0114,-0.0244,0.0171,-1.4268,-0.0773,-0.001149,0.4847,489,-0.5228,-0.1336,-0.1466,0.0183,-8.0111,-0.5228,-0.001149,0.4847,489
PLS,ret_ZT_cum3,3,short,0.0,0.0,-0.013,0.0,,0.0,-0.001149,,0,0.0,0.0,-0.013,0.0,,0.0,-0.001149,,0
Lasso,ret_ZT_cum5,5,full,-0.0595,-0.0118,-0.0248,0.019,-1.3059,-0.0896,-0.001444,0.454,489,-0.422,-0.1008,-0.1138,0.0197,-5.789,-0.422,-0.001444,0.454,489
Lasso,ret_ZT_cum5,5,long,-0.0595,-0.0118,-0.0248,0.019,-1.3059,-0.0896,-0.001444,0.454,489,-0.422,-0.1008,-0.1138,0.0197,-5.789,-0.422,-0.001444,0.454,489
Lasso,ret_ZT_cum5,5,short,0.0,0.0,-0.013,0.0,,0.0,-0.001444,,0,0.0,0.0,-0.013,0.0,,0.0,-0.001444,,0
