model,target,horizon,substrategy,cum_return,ann_return,ann_excess_ret,ann_vol,sharpe,max_drawdown,oos_r2,hit_rate,n_trades,net_cum_return,net_ann_return,net_ann_excess_ret,net_ann_vol,net_sharpe,net_max_drawdown,net_oos_r2,net_hit_rate,net_n_trades
Bwd (CV),ret_RUT_cum15,15,full,-0.4267,-0.1022,-0.1153,0.1921,-0.5999,-0.5237,0.003214,0.4152,289,-0.5045,-0.1272,-0.1403,0.1922,-0.7297,-0.5762,0.003214,0.4152,289
Bwd (CV),ret_RUT_cum15,15,long,0.1114,0.0207,0.0077,0.126,0.0609,-0.2825,0.003214,0.5217,23,0.0613,0.0116,-0.0014,0.1262,-0.0112,-0.2968,0.003214,0.5217,23
Bwd (CV),ret_RUT_cum15,15,short,-0.4267,-0.1022,-0.1153,0.1888,-0.6105,-0.5307,0.003214,0.406,266,-0.4945,-0.1239,-0.1369,0.1887,-0.7254,-0.5795,0.003214,0.406,266
Bwd (CV),ret_RUT_cum5,5,full,0.6064,0.0962,0.0832,0.2,0.4161,-0.3134,0.005577,0.5022,460,0.0074,0.0014,-0.0116,0.1999,-0.0579,-0.3691,0.005577,0.5022,460
Bwd (CV),ret_RUT_cum5,5,long,0.3982,0.0671,0.0541,0.2099,0.2578,-0.3235,0.005577,0.4977,440,-0.1206,-0.0246,-0.0376,0.2098,-0.1793,-0.4231,0.005577,0.4977,440
Bwd (CV),ret_RUT_cum5,5,short,0.1236,0.0228,0.0098,0.074,0.1329,-0.094,0.005577,0.6,20,0.0795,0.0149,0.0019,0.074,0.026,-0.1021,0.005577,0.6,20
Bwd (CV),ret_XLE_cum10,10,full,-0.4016,-0.0947,-0.1078,0.2048,-0.5262,-0.6617,-0.003171,0.4261,176,-0.4815,-0.1195,-0.1325,0.205,-0.6466,-0.6875,-0.003171,0.4261,176
Bwd (CV),ret_XLE_cum10,10,long,0.6728,0.1049,0.0919,0.1174,0.7824,-0.1966,-0.003171,0.6667,27,0.5846,0.0933,0.0803,0.1177,0.6827,-0.1999,-0.003171,0.6667,27
Bwd (CV),ret_XLE_cum10,10,short,-0.6089,-0.1664,-0.1794,0.1973,-0.9091,-0.694,-0.003171,0.3826,149,-0.6489,-0.1836,-0.1966,0.1975,-0.9958,-0.7162,-0.003171,0.3826,149
Fwd (CV),ret_XLE_cum3,3,full,0.0974,0.0182,0.0052,0.1934,0.0267,-0.3323,-0.003178,0.5246,305,-0.317,-0.0712,-0.0843,0.1935,-0.4354,-0.5087,-0.003178,0.5246,305
