date,surp_nfp,surp_unemp,surp_corecpi,surp_gdp,surp_retsailes,surp_ism_pmi,surp_dgorders,surp_newhomesales,surp_consconfid,surp_avghourlyearnmings,surp_cpi,surp_tradebal,surp_indprod,surp_fedratedec,ret_CADUSD,ret_EURUSD,ret_GBPUSD,ret_GC,ret_JPYUSD,ret_XLE,ret_XLF,ret_XLI,ret_XLK,ret_XLV,ret_ZN,ret_ZT,ret_GSPC,ret_RUT,ret_CADUSD_lag1,ret_EURUSD_lag1,ret_GBPUSD_lag1,ret_GC_lag1,ret_JPYUSD_lag1,ret_XLE_lag1,ret_XLF_lag1,ret_XLI_lag1,ret_XLK_lag1,ret_XLV_lag1,ret_ZN_lag1,ret_ZT_lag1,ret_GSPC_lag1,ret_RUT_lag1,VIXCLS,ret_CADUSD_cum3,ret_EURUSD_cum3,ret_GBPUSD_cum3,ret_GC_cum3,ret_JPYUSD_cum3,ret_XLE_cum3,ret_XLF_cum3,ret_XLI_cum3,ret_XLK_cum3,ret_XLV_cum3,ret_ZN_cum3,ret_ZT_cum3,ret_GSPC_cum3,ret_RUT_cum3,ret_CADUSD_cum5,ret_EURUSD_cum5,ret_GBPUSD_cum5,ret_GC_cum5,ret_JPYUSD_cum5,ret_XLE_cum5,ret_XLF_cum5,ret_XLI_cum5,ret_XLK_cum5,ret_XLV_cum5,ret_ZN_cum5,ret_ZT_cum5,ret_GSPC_cum5,ret_RUT_cum5,ret_CADUSD_cum10,ret_EURUSD_cum10,ret_GBPUSD_cum10,ret_GC_cum10,ret_JPYUSD_cum10,ret_XLE_cum10,ret_XLF_cum10,ret_XLI_cum10,ret_XLK_cum10,ret_XLV_cum10,ret_ZN_cum10,ret_ZT_cum10,ret_GSPC_cum10,ret_RUT_cum10,ret_CADUSD_cum15,ret_EURUSD_cum15,ret_GBPUSD_cum15,ret_GC_cum15,ret_JPYUSD_cum15,ret_XLE_cum15,ret_XLF_cum15,ret_XLI_cum15,ret_XLK_cum15,ret_XLV_cum15,ret_ZN_cum15,ret_ZT_cum15,ret_GSPC_cum15,ret_RUT_cum15
2005-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,-0.002259886632293538,-0.004615622727806629,-0.0012242814019166118,-0.010743806184447827,-0.007687872695665771,0.004894999470321634,-0.004647864748067321,-0.0029756332302150047,-0.006505069325284528,-0.003040446901665486,-0.0019501996843338753,-0.0005983097053381679,-0.002769465505019701,-0.0042178341611219874,-0.004697551901488278,-0.000534522995774739,0.0007348067277446095,0.0007127172477062205,-0.00019296664164176938,0.013782412948724425,0.0,0.0,0.0004990336681216761,0.004055493365465964,-0.000278833334058192,-0.0004487164190852982,0.0031729290996995304,0.006094622291993515,11.66,-0.01404128072578595,-0.0207772715712035,-0.014259215520513353,-0.017971011710832388,-0.011128270163025778,0.0018065218066706905,0.008246404995045038,0.004611318226983236,0.007453494594387763,0.00672227003355144,0.0045828201189339465,8.673617379884035e-17,0.007123495814603718,0.007315206415233633,-0.0079674786029016,-0.016953454959940287,-0.013627314545535845,-0.01966493155212386,-0.01844729518911216,0.007205337386022392,0.0016546113669559195,-0.0003300736818753706,-0.004999956903740067,-0.001687790583291788,0.009972381812936887,0.0012700749370225448,-0.001006172538340691,-0.00997067707864001,0.0008083038801264585,-0.000690410058235812,-0.00026385579115202965,0.01039459835132778,-0.017405058670050995,0.07414506174971344,0.006273579133185922,0.016047710393474253,0.00992522708054871,0.00906498638033396,-0.0012533651948269252,-0.0016465063769093605,0.014270939941805628,0.010811929650039385,-0.008608565224619988,0.013038502895855637,0.011448786520411904,0.03224575590719488,-0.013320119549286271,0.0879577083892422,-0.019061187284996752,-0.007954941804495177,-0.017103189381798795,0.015395456445221143,-0.007404648534632501,-0.0020961641541048025,-0.0020049525279013485,-0.018267685871819855
2005-02-04,-39.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-0.1,0.0,0.0,0.0,0.0,-0.004711922866047631,-0.007327903890523666,-0.008190094056728565,-0.0009666358740457591,-0.0074691518436184766,-0.006680133138220404,0.0009858673273020855,-0.0006570675232242079,-0.0029652852672655337,0.0006698856352593372,0.0009697257626211656,-0.0004487164190852982,-0.0010895591835757032,-0.0012872351993118776,-0.007069471227444773,-0.008833744952873195,-0.0048448400618681725,-0.006260569652338799,0.004028754376258491,0.003591655474569457,0.01190840241581024,0.008244018980422452,0.01692384918693776,0.009092831299957605,0.005563294040646655,0.0010470261244235528,0.01098252050319909,0.012820275775667501,11.21,0.001361879256836705,-0.0035040872792604645,-0.007558193081751067,-0.002660555715337261,-0.014788176869704874,-0.0012813175588687442,-0.005605926300787028,-0.005598459432082864,-0.015418736765393178,-0.007740174981583879,0.006359287456624136,0.0008213585179371651,-0.009219227536520054,-0.018573118693185495,0.012242436464639841,-7.713989026209857e-05,-0.001815408729771812,0.015578505587688425,-0.016302356474994603,0.034481904965857305,0.005247625629982518,0.005567664304372826,-0.00395624647247461,0.004014880427808012,-0.0005549387078093212,-0.0006726754586653917,0.0018851404333038932,-0.004213168706802977,0.011594379344067374,0.016281415390501878,0.011265413437719779,0.031152218312707234,-0.015166949571022095,0.07401623617337848,-0.020598610339523357,0.0016407355996986995,-0.01893434220901944,0.016622622521513645,-0.010456969123473308,-0.0023195509307004526,-0.0011977473793331973,-0.011534003732440797,0.007391991510005536,0.029741197272334118,0.02442378137628243,0.04925013174398143,-0.011467990222406663,0.12320296281782875,-0.014908423383404057,0.009153991726044088,-0.012415415397441513,0.025158504436412366,-0.01115771155161547,-0.003369009780689228,0.006908547802186872,0.00014122191640142216
2005-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.006462014755119629,-0.0014796398456874032,0.0009532906211967976,0.007878727026962795,0.0006617585254496463,0.008697121319168355,0.007881801293062056,0.006553380604267804,0.009459730704363048,0.010067264826100226,-0.0020787579617727392,-0.0007472595175615337,0.006901750205170698,0.012603529567432829,0.004418542452683503,0.004906587234685771,0.004789493730782452,0.010360334276062866,-0.0021759381307393712,0.027066101205557646,0.0029717506377074637,0.0046127431321878395,0.002002759588555644,0.0016877905832916945,-0.004835468202660689,-0.0007467744590410178,0.004202617764653276,0.0017564204189497207,11.51,0.008977273830097698,0.010887677157944892,0.014451019477366354,0.02063881021226221,0.012074106432504622,0.012154488235583568,0.008535910612582022,0.008836289589598374,0.016373659155744055,0.010401377789862429,-0.002356817296465183,-0.0011216101833195383,0.010892735291845828,0.012887049572562346,0.011010416205619432,0.015336438252968047,0.014299425717153189,0.02392056169611471,0.003218174649800481,0.026352960887314897,-0.007280176098190382,0.0026264518995937937,-0.003507872010100249,0.007727812774087597,-0.0073665689375454185,-0.0016455711795786087,0.0031195726446276734,0.006884270676767008,0.0011277873337676289,0.023568175706155735,0.02085879199431677,0.04063019231940667,0.003028659624462097,0.07312720212828115,-0.022338326552335988,0.0019703681896902463,-0.005518365032181866,0.023005024687270687,-0.013523879182759758,-0.0031431863616389125,0.002661379971781807,0.001195819562479012,-0.0012070301649270334,0.017705694035921444,0.02055351755091112,0.029986856918671458,0.005021141975582679,0.10148486753987164,-0.016957818505619105,0.01273904836460118,-4.0766001685454967e-17,0.02399307515624103,-0.019154524689587903,-0.004118540136511035,0.011181900820347345,0.018149230588630664
2005-02-15,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004620033799753166,0.00046878050907379134,-0.00587705445376499,-0.0009396145848734059,-0.008855931782704135,0.027719134922549894,-0.006888693484059432,0.0029287513535634787,-0.0034512347600108646,-0.0013363914095284512,-0.004033461508637964,-0.0010481966715713501,0.00018175942364727842,0.006139136737167333,0.00251525907497808,0.0033785982228849926,0.004293067959698691,0.00023483880738597157,0.005246781739970567,0.0022212080661388823,0.002291198068383138,0.003263336500543799,0.004933540995686193,-0.0003334542166157335,-0.0013876289641361606,-7.466218833371596e-05,0.003294334262127831,-0.00012601513207535927,11.27,-0.0031633161955505733,0.003991238277131645,-0.0004169066886779699,0.0028136295397194135,-0.010276941003082537,0.03607696429110602,-0.026500345289025756,-0.00620983769000463,-0.02189202418792572,0.012273629129943337,-0.009623971080971565,-0.001272524806277057,-0.007073872899312126,-0.007604355030767335,0.004070343268357256,0.018577493523668824,0.008355171158947267,0.019991382107144563,0.003065463176050368,0.02891678771328443,-0.041380416820344226,-0.022405406772803203,-0.027440318203707126,0.00033345421661581595,-0.010745833259585724,-0.0012725248062770622,-0.021685832878917365,-0.027155339503448887,-0.008010700732724637,0.01183709946168944,0.012261741035025775,0.0163021777504972,0.0009569789899607642,0.058417828176464584,-0.020810158332906517,-0.0013039078183741536,-0.006418294279050465,0.013591697366378655,-0.015950604686750303,-0.0030718951169588535,0.00023964921763200853,0.005638195287433859,0.015308735973820145,0.025416959194131727,0.017417081290054565,0.03325172243905539,-0.00019125253427118485,0.09405404091506209,-0.014488209910955313,0.02191575201621468,-0.010885888999339705,0.01851879167440633,-0.01693867373104275,-0.0032976306217221757,0.007664056288277706,0.004776394192322375
2005-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,0.006653176175274895,0.003979980585949364,0.005725460693551819,0.004221366068725881,0.0,-0.013520662270818605,-0.008927393226712998,-0.009138589043568107,-0.016430296405833315,-0.001337173606246351,-0.0009762901324422433,0.0005242356753122849,-0.007954922070865405,-0.012141915632962639,-0.004620033799753166,0.00046878050907379134,-0.00587705445376499,-0.0009396145848734059,-0.008855931782704135,0.027719134922549894,-0.006888693484059432,0.0029287513535634787,-0.0034512347600108646,-0.0013363914095284512,-0.004033461508637964,-0.0010481966715713501,0.00018175942364727842,0.006139136737167333,11.1,0.002185825889286362,0.003143477328546535,0.006673456171137446,0.0037532441245928193,0.0003793151315338401,0.008357829368556124,-0.019611651804966324,-0.009138589043568108,-0.018440789427914855,0.013610020539471787,-0.005590509572333602,-0.00022432813470570686,-0.007255632322959405,-0.013743491767934667,-0.009416869104746439,0.01372891295409144,0.01171264231156393,0.02185115755586713,0.004084939120764717,0.013812646639528843,-0.025334766418182643,-0.024002652197969442,-0.027028416462347545,0.006330470064887128,-0.006151283339805604,-0.00044965777719544966,-0.016275892469706982,-0.029079615521859368,-0.001292994824253628,0.008632399634042998,0.01522653213845504,0.01701075131405654,0.006753944863348651,0.045243832321613,-0.016929730861374385,-0.001300463853096412,-0.00544664011635903,0.01591534376934273,-0.01219975250229199,-0.001649148576750231,-0.000214846824119659,-0.002382045202905159,0.02480785330143273,0.026819202269998687,0.02023233272723219,0.03827116662450384,0.014034354582525473,0.038343931490801786,-0.019948039430461577,0.008089299079668096,-0.00942700066379014,0.013610020539471645,-0.020415773785070278,-0.003000077691522959,-0.0027550484576884015,-0.012236982352124552
2005-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.006187416408169509,-0.0015171949149544136,0.0005721846591514727,-0.0009201608638492338,-0.004274454146103157,0.019440932330618894,0.0013492227373241104,0.014207979444497906,0.008587627034432544,0.007609568242049504,-0.000982317037851031,-0.0005237217295525752,0.007862777725995748,0.011249248774608707,-0.01810724617285686,-0.004379800060503592,-0.002519583301148327,0.0009201608638491627,-0.007836455837989786,0.0126149938487943,0.00915695691810215,0.001331505928397239,-0.0030393330186512875,0.004660624438742861,0.0005610884111421565,-0.0002253296424897376,0.005591699832857658,0.00421486071875685,12.39,0.01127852448280263,0.0010568172162525027,0.006694832302881874,0.0036722697103607703,0.0049624033279731545,0.036460464104085565,0.0016864864654567331,0.016502017634399565,0.012103232478058732,0.0006634766436383489,-0.010664090200380906,-0.0016489381641883265,0.010691654325598156,0.02155355203311611,0.008123874280492788,-0.00509651332004847,0.0035138898268911173,-0.0048404062418105345,0.0026690057425838797,0.03143118568208425,0.008405035556808332,0.02270218834487315,0.02158177634598845,0.009584873704455495,-0.006048469162486438,-0.001199490799554787,0.016061045645587357,0.026697570318954183,0.03422472240617917,0.013090289315907243,0.008519690415668257,0.01642000906863674,0.00994941546176075,0.02453128485127304,0.005386726987721101,0.032091951277637525,0.01760141579855737,0.007279550474584464,-0.014264490445264701,-0.002550419914327517,0.013520844012018576,0.016842633169734687,0.03713033392802946,0.015621777723545643,0.010906720123952187,0.020032580327470288,0.008220300942812744,0.008712889358610228,-0.009156956918102265,0.020096362356549095,-0.007128480715561589,-0.01674555324487928,-0.01398052208239046,-0.0032265327653655525,-0.0022952946090091467,0.0038280408922529213
2005-02-24,0.0,0.0,0.0,0.0,0.0,0.0,-0.8617662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004837824667177051,0.004770521610753075,0.0063336887329342685,0.0009201608638491627,0.0024674651535754846,0.024290977042858732,0.010064078832011504,0.008169339836248806,0.006518926811577977,0.008205864147433838,0.0008423483771808424,-0.00030040747794646543,0.009263777602271862,0.015762100628158086,0.006187416408169509,-0.0015171949149544136,0.0005721846591514727,-0.0009201608638492338,-0.004274454146103157,0.019440932330618894,0.0013492227373241104,0.014207979444497906,0.008587627034432544,0.007609568242049504,-0.000982317037851031,-0.0005237217295525752,0.007862777725995748,0.011249248774608707,11.57,-0.00016121423639456605,-0.0008433990865214019,0.005853968518075363,-0.003689204356647262,0.01000242579800329,-0.0025548857162329963,0.010064078832011497,0.005562013581533978,0.015473729908875458,0.0009880504689703936,-0.004783542800455728,-0.0010503189386394792,0.008471004537696027,0.017329425297517194,-0.0023348174986946536,-0.005862481670234294,-0.0003052744434056511,-0.01064333540073518,0.0019924823511205765,0.02835766541159058,0.005380508046716918,0.010768680174910918,0.005518365032181796,0.0009880504689702878,-0.005630645506828171,-0.00097535377487213,0.008520520848565529,0.016953411026151523,0.031192447877569116,0.019152693200928796,0.008524442283037028,0.018922228561213124,0.014993277613212093,-0.015428481234471655,0.009730260266739645,0.02013721024615586,0.013490644005657223,0.0032903406200134036,-0.010583810444430096,-0.002101668847586618,0.007512163831004676,-0.000988433906202452,0.03244059824340045,0.014754691223494893,0.00923660013305683,0.009619891292185729,0.009236857474076317,0.006474451803667855,-0.013236172597720237,0.005562013581533906,-0.016227257419777,-0.02098352100084623,-0.010299706940746176,-0.0022517004076853886,-0.008358439567219232,-0.0033518659228219056
2005-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.044,0.0,0.0,0.0,0.0,0.0,0.0,-0.0052523223110276865,-0.0034174112177283184,-0.0002686791256550374,-0.008281634930857266,0.0007655683239269793,-0.019574417489699663,0.009726815103878874,0.003267975391632321,0.01195812446524927,0.00793414206738155,0.004898230362074147,7.489749599627205e-05,0.005642127938093621,0.007025122039009789,0.004607325607915425,-0.002196509479546146,-0.00021104108920386326,0.0036722697103608484,0.006769392320500847,-0.007271445269392064,-0.009726815103878914,-0.005875301646347149,-0.0030033213679518515,-0.015151955745844978,-0.010524121539710718,-0.000824808956689286,-0.006434901002669486,-0.0054577973696506785,12.08,-0.007425925573327788,-0.00843649380144122,-0.0064279220871360605,-0.015235765974945218,-0.007244375122955749,0.011338133638123865,0.005043244318584304,0.008474641985009218,0.0020027595885557907,0.007934142067381456,0.004051127655701734,0.0001498626597636266,0.005691644248963179,0.0066491077676441475,0.004628743164614611,0.00037017681122080586,-0.002243027672771637,-0.0034423441909727155,-0.005343055627730787,0.017183716195075877,0.017705508931771585,0.02712474678544504,0.015912475838627305,0.019392505885673653,0.00827756171793266,7.489749599607921e-05,0.017876875536566257,0.015337705083177035,0.02195195893833343,0.011137644369600819,-0.0028173563792411147,0.010483245668270986,-0.003819360558931067,-0.01701953177346651,0.006048486989089027,0.020733001240945105,0.0010016319050205713,0.003974894665285894,-0.004312585563780964,-0.002028908821949772,0.0026800052219813925,-0.005947706180900396,0.019470578100528116,-0.0042468485476308045,-0.012170209838735027,-0.012448279368563773,-0.0064843149245717505,-0.006990875427660104,-0.027581064837297567,0.007743599013163876,-0.02538237330453219,-0.019082368033522895,-0.002747765389573783,-0.0015025788584792257,-0.016604312354936986,-0.019895036209028837
2005-03-01,0.0,0.0,0.0,0.0,0.0,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020976721087178417,-0.0027359193185726525,-0.0029122633503357227,-0.00023104102131406667,-0.003058965909316247,0.014545139067698304,-0.0030082660125272994,0.00293219531884122,-0.00247958059731943,0.0009872549934356247,-0.00028260932417964934,0.00037454986863727263,-0.0002727366181043891,-0.001881103753171685,-0.0052523223110276865,-0.0034174112177283184,-0.0002686791256550374,-0.008281634930857266,0.0007655683239269793,-0.019574417489699663,0.009726815103878874,0.003267975391632321,0.01195812446524927,0.00793414206738155,0.004898230362074147,7.489749599627205e-05,0.005642127938093621,0.007025122039009789,12.04,0.007442162194962302,0.0056800654622712575,0.0024011376489674356,0.0029985452092361198,-0.003249840168642961,0.04368290875017794,0.007978693827892689,0.019066956452407892,-0.0034730627074260976,0.009177527192894844,0.0028169019150435445,0.00037454986863717793,0.009627878177789515,0.010004107966285283,0.023319436706544787,0.013579859732442282,0.005155340255028784,0.016949544688558214,-0.0011482315242319534,0.03563621273859757,0.006321948421951234,0.023219659834588822,-0.004467594720289269,0.004927094308027619,-0.0009880690442924701,-0.00022573550476332935,0.007424407070645692,-0.0008618010951116119,0.027369948467623233,0.010433803788249818,-0.002854751127804566,0.018311338171781707,-0.0008612690771937926,-0.011460823019758148,-0.010401032052093813,0.011999573251787998,-0.021022023924656685,-0.0155972290233061,-0.010207058437164759,-0.002178934997877617,-0.010514376646552342,-0.018509275609761157,0.02588011657370524,-0.007231440834973477,-0.017403702395710034,-0.0037028649978805995,-0.010949851604618872,0.0005294316947979938,-0.055941263430375865,-0.0010808917410469786,-0.04611913505390085,-0.026677071114852957,-0.02152793960656535,-0.003081287232808914,-0.032494986502286674,-0.03174214908626658
2005-03-04,44.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,-0.1,0.0,0.0,0.0,0.0,0.002438903280679992,-0.0018924774333221306,-0.004375486196084039,0.0018407455306484028,-0.0028587837830147994,-0.006924775065402454,0.0,0.004789814941404786,0.007427414080804252,0.0022808366253972917,0.0005624294408149975,-0.00037454986863736555,0.0026068694206831493,-0.0016915249221180059,0.009615765457262403,0.01069914804598416,0.008560380610448459,0.009952676253324072,0.004760103278239766,0.012770357622354416,0.012662264613187259,0.013860289859030995,0.006482302169267382,0.009177527192894936,0.003664004621415957,0.00029958470486982335,0.009578361866919956,0.010380122237650924,11.94,0.02075635803944189,0.009770817855111767,-0.0003076004105260219,0.018030829079897108,0.0074712839785035165,-0.036037670513290807,-0.014005268409507136,-0.006744998200802222,-0.0029868784373242893,-0.010495595429330346,-0.01131553252200148,-0.0013509291147726357,-0.012440816429462594,-0.02174014886867646,0.021336790815621388,0.016912853859911578,0.0016169098516010901,0.02726202379815339,0.006798511103300842,-0.04834499683345335,-0.017031564650838167,-0.007067383200619757,-0.011497492811370935,-0.014791332510772848,-0.01302396035220837,-0.0024033065818434814,-0.0181988669855917,-0.028481445840606308,0.025742684743354925,0.0056459263422880684,-0.00024994137479990037,0.011677237636237521,0.0007636686119773142,-0.022382085984032688,-0.036271746019821305,-0.017856234941597528,-0.03386743506235527,-0.03212872249337732,-0.009752727049873159,-0.0017259120290508674,-0.026927884868080513,-0.03531672975769718,0.01373478220393403,-0.022205226932482284,-0.02718784382577492,-0.0221222194960951,-0.014871210785468813,-0.06317530124987171,-0.06676282119740913,-0.021459729854000187,-0.03798903603204423,-0.02471909167502505,-0.024057079226755616,-0.00420958454865306,-0.04237032597591778,-0.047111585740297904
