date,ret_XLE,ret_XLF,ret_XLI,ret_XLK,ret_XLV,ret_GSPC,ret_RUT,ret_XLE_lag1,ret_XLF_lag1,ret_XLI_lag1,ret_XLK_lag1,ret_XLV_lag1,ret_GSPC_lag1,ret_RUT_lag1,vix_lag1,surp_nfp_lag0,surp_nfp_bin_d1,surp_nfp_bin_d2_5,surp_nfp_bin_d6_10,surp_nfp_bin_d11_15,surp_unemp_lag0,surp_unemp_bin_d1,surp_unemp_bin_d2_5,surp_unemp_bin_d6_10,surp_unemp_bin_d11_15,surp_ahe_lag0,surp_ahe_bin_d1,surp_ahe_bin_d2_5,surp_ahe_bin_d6_10,surp_ahe_bin_d11_15,surp_jobless_lag0,surp_jobless_bin_d1,surp_jobless_bin_d2_5,surp_jobless_bin_d6_10,surp_jobless_bin_d11_15,surp_cpi_lag0,surp_cpi_bin_d1,surp_cpi_bin_d2_5,surp_cpi_bin_d6_10,surp_cpi_bin_d11_15,surp_core_cpi_lag0,surp_core_cpi_bin_d1,surp_core_cpi_bin_d2_5,surp_core_cpi_bin_d6_10,surp_core_cpi_bin_d11_15,surp_core_pce_lag0,surp_core_pce_bin_d1,surp_core_pce_bin_d2_5,surp_core_pce_bin_d6_10,surp_core_pce_bin_d11_15,surp_gdp_lag0,surp_gdp_bin_d1,surp_gdp_bin_d2_5,surp_gdp_bin_d6_10,surp_gdp_bin_d11_15,surp_ism_mfg_lag0,surp_ism_mfg_bin_d1,surp_ism_mfg_bin_d2_5,surp_ism_mfg_bin_d6_10,surp_ism_mfg_bin_d11_15,surp_retail_sales_lag0,surp_retail_sales_bin_d1,surp_retail_sales_bin_d2_5,surp_retail_sales_bin_d6_10,surp_retail_sales_bin_d11_15,surp_ind_prod_lag0,surp_ind_prod_bin_d1,surp_ind_prod_bin_d2_5,surp_ind_prod_bin_d6_10,surp_ind_prod_bin_d11_15,surp_fed_rate_lag0,surp_fed_rate_bin_d1,surp_fed_rate_bin_d2_5,surp_fed_rate_bin_d6_10,surp_fed_rate_bin_d11_15,surp_trade_bal_lag0,surp_trade_bal_bin_d1,surp_trade_bal_bin_d2_5,surp_trade_bal_bin_d6_10,surp_trade_bal_bin_d11_15,surp_ppi_lag0,surp_ppi_bin_d1,surp_ppi_bin_d2_5,surp_ppi_bin_d6_10,surp_ppi_bin_d11_15,surp_durable_goods_lag0,surp_durable_goods_bin_d1,surp_durable_goods_bin_d2_5,surp_durable_goods_bin_d6_10,surp_durable_goods_bin_d11_15,surp_housing_starts_lag0,surp_housing_starts_bin_d1,surp_housing_starts_bin_d2_5,surp_housing_starts_bin_d6_10,surp_housing_starts_bin_d11_15,surp_conf_board_lag0,surp_conf_board_bin_d1,surp_conf_board_bin_d2_5,surp_conf_board_bin_d6_10,surp_conf_board_bin_d11_15,surp_philly_fed_lag0,surp_philly_fed_bin_d1,surp_philly_fed_bin_d2_5,surp_philly_fed_bin_d6_10,surp_philly_fed_bin_d11_15,surp_pers_income_lag0,surp_pers_income_bin_d1,surp_pers_income_bin_d2_5,surp_pers_income_bin_d6_10,surp_pers_income_bin_d11_15,surp_jolts_lag0,surp_jolts_bin_d1,surp_jolts_bin_d2_5,surp_jolts_bin_d6_10,surp_jolts_bin_d11_15
2008-02-28,0.0171989932271376,-0.0312046865100911,-0.0071926138816682,-0.0126638513210327,-0.011590210372571,-0.0089418744986786,-0.0149629162271099,-0.0130185400153356,0.0043731724625419,0.001868584748303,0.0008738720237222,0.0044776316916155,-0.0009194445013966,-0.0012267953965137,22.69,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,23.0,0.0,4.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0999999999999999,,0.0,0.0,0.0,0.0,,-0.0999999999999999,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.2,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,61.8,,0.0,0.0,0.6,0.0,,0.0,-1.2999999999999998,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,-7.0,0.0,,0.0,0.0,-14.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2008-02-29,-0.0331806176898614,-0.0325840446268974,-0.0273681101647292,-0.0203451026979185,-0.0138299641461054,-0.0270897047358384,-0.027688004929031,0.0171989932271376,-0.0312046865100911,-0.0071926138816682,-0.0126638513210327,-0.011590210372571,-0.0089418744986786,-0.0149629162271099,23.53,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,23.0,0.0,4.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0999999999999999,,0.0,0.0,0.0,0.0,,0.0,-0.0999999999999999,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,61.8,,0.0,0.0,0.6,0.0,,0.0,0.0,-1.2999999999999998,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,-7.0,0.0,,0.0,0.0,0.0,-14.0,,0.0999999999999999,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2008-03-03,0.0124918252445578,-0.0135498163937275,0.0146208849110405,-0.0004512814746868,-0.0003052185616136,0.0005335524788219,-0.0028564254183702,-0.0331806176898614,-0.0325840446268974,-0.0273681101647292,-0.0203451026979185,-0.0138299641461054,-0.0270897047358384,-0.027688004929031,26.54,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,23.0,4.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0999999999999999,,0.0,0.0,0.0,0.0,,0.0,0.0,-0.0999999999999999,0.0,,0.2999999999999971,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.6,0.0,,0.0,0.0,-1.2999999999999998,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,-7.0,0.0,,0.0,0.0,0.0,-14.0,,0.0,0.0999999999999999,0.0,0.0,,0.0,0.0,0.0,0.0,
2008-03-04,-0.0194805408767925,-0.0054951692395103,-0.011691025982262,0.0013553344681613,0.0012200540590279,-0.0034476286584579,-0.0047353049795455,0.0124918252445578,-0.0135498163937275,0.0146208849110405,-0.0004512814746868,-0.0003052185616136,0.0005335524788219,-0.0028564254183702,26.28,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,23.0,4.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0999999999999999,,0.0,0.0,0.0,0.0,,0.0,0.0,-0.0999999999999999,0.0,,0.0,0.2999999999999971,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.6,0.0,,0.0,0.0,-1.2999999999999998,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,-7.0,0.0,,0.0,0.0,0.0,-14.0,,0.0,0.0,0.0999999999999999,0.0,,0.0,0.0,0.0,0.0,
2008-03-05,0.0251651194556996,-0.0078928042540123,0.0132049904307716,0.0072171675318841,-0.0018275729992609,0.0052383276215375,0.0040529969232356,-0.0194805408767925,-0.0054951692395103,-0.011691025982262,0.0013553344681613,0.0012200540590279,-0.0034476286584579,-0.0047353049795455,25.52,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,23.0,4.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0999999999999999,,0.0,0.0,0.0,0.0,,0.0,0.0,-0.0999999999999999,0.0,,0.0,0.0,0.2999999999999971,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.6,,0.0,0.0,-1.2999999999999998,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-7.0,,0.0,0.0,0.0,-14.0,,0.0,0.0,0.0999999999999999,0.0,,0.0,0.0,0.0,0.0,
2008-03-06,-0.0200253820637211,-0.0346060411787245,-0.0190064991746775,-0.0138833720074738,-0.0201404288240529,-0.0220139359874497,-0.0306548706187498,0.0251651194556996,-0.0078928042540123,0.0132049904307716,0.0072171675318841,-0.0018275729992609,0.0052383276215375,0.0040529969232356,24.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0999999999999999,0.0,0.0,0.0,0.0,0.2999999999999971,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.8,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,-1.2999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,-14.0,0.0,0.0,0.0,0.0999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-07,-0.027554478118746,0.0020599034958506,-0.0143921852654035,0.0,-0.0115230116701698,-0.0084103615549538,-0.0040285522002603,-0.0200253820637211,-0.0346060411787245,-0.0190064991746775,-0.0138833720074738,-0.0201404288240529,-0.0220139359874497,-0.0306548706187498,27.55,-88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0999999999999999,0.0,0.0,0.0,0.2999999999999971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.8,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,-1.2999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,-14.0,0.0,0.0,0.0999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-10,-0.012337529966685,-0.0283716866391207,-0.0160068281743698,-0.0108991151482458,-0.0233143500149695,-0.0154634791865477,-0.0244504931096317,-0.027554478118746,0.0020599034958506,-0.0143921852654035,0.0,-0.0115230116701698,-0.0084103615549538,-0.0040285522002603,27.49,0.0,-88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0999999999999999,0.0,0.0,0.0,0.2999999999999971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,-1.2999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,-14.0,0.0,0.0,0.0,0.0999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-11,0.0514757988564169,0.0655950415470252,0.033961372593509,0.0353538353857942,0.0096775468933225,0.0371298440187637,0.0463376061198748,-0.012337529966685,-0.0283716866391207,-0.0160068281743698,-0.0108991151482458,-0.0233143500149695,-0.0154634791865477,-0.0244504931096317,29.38,0.0,0.0,-88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0999999999999999,0.0,0.0,0.0,0.0,0.2999999999999971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2999999999999972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,-1.2999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,-14.0,0.0,0.0,0.0,0.0999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-12,-0.0221934425980873,-0.0166802786591452,-0.0019321635185186,-0.0101993460002508,0.0,-0.0089955738940628,-0.0096466363270824,0.0514757988564169,0.0655950415470252,0.033961372593509,0.0353538353857942,0.0096775468933225,0.0371298440187637,0.0463376061198748,26.36,0.0,0.0,-88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0999999999999999,0.0,0.0,0.0,0.0,0.2999999999999971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2999999999999972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,-1.2999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,-14.0,0.0,0.0,0.0,0.0999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-13,0.0166890622094513,-0.0024228587950195,0.0138270819969779,-0.0040324487523675,-0.0012780497128012,0.0051269213363422,0.0185821049578591,-0.0221934425980873,-0.0166802786591452,-0.0019321635185186,-0.0101993460002508,0.0,-0.0089955738940628,-0.0096466363270824,27.22,0.0,0.0,-88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-12.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0999999999999999,0.0,0.0,0.0,0.0,0.2999999999999971,0.0,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2999999999999972,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,-1.2999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,-14.0,0.0,0.0,0.0,0.0999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-14,-0.0182532144918854,-0.0283402227488437,-0.0158206615322418,-0.0125955453297732,-0.0185538505970015,-0.020783262555292,-0.0247311309458226,0.0166890622094513,-0.0024228587950195,0.0138270819969779,-0.0040324487523675,-0.0012780497128012,0.0051269213363422,0.0185821049578591,27.29,0.0,0.0,-88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-12.0,23.0,-0.3,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0999999999999999,0.0,0.0,0.0,0.2999999999999971,0.0,0.0,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2999999999999972,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,-1.2999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
