date,ret_CADUSD,ret_EURUSD,ret_GBPUSD,ret_JPYUSD,ret_XLE,ret_XLF,ret_XLI,ret_XLK,ret_XLV,ret_ZN,ret_ZT,ret_GSPC,ret_RUT,surp_ahe,surp_conf_board,surp_core_cpi,surp_core_pce,surp_cpi,surp_durable_goods,surp_housing_starts,surp_ind_prod,surp_fed_rate,surp_ism_mfg,surp_nfp,surp_pers_income,surp_philly_fed,surp_ppi,surp_retail_sales,surp_trade_bal,surp_jobless,surp_unemp,surp_gdp,surp_jolts,VIXCLS,ret_CADUSD_lag1,ret_EURUSD_lag1,ret_GBPUSD_lag1,ret_JPYUSD_lag1,ret_XLE_lag1,ret_XLF_lag1,ret_XLI_lag1,ret_XLK_lag1,ret_XLV_lag1,ret_ZN_lag1,ret_ZT_lag1,ret_GSPC_lag1,ret_RUT_lag1
2008-02-13,0.0027056466821206993,-0.001775884416681639,0.001020347720978254,-0.008699529199953981,0.02429841340271266,-0.0036698237630932162,0.017886372923017424,0.02286670217603004,-0.0014930542795910107,0.000802031813928572,0.0012406042472450363,0.013604062530741423,0.023317475566211332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,24.88,0.0015990669749748054,0.005512052451426941,0.005292462862338976,-0.004751197873155255,-0.0005590158469737094,0.027526569780198518,0.010128906861415654,0.0022040504000657712,0.014541462976612518,-0.003728858702889859,-0.00043766868480554777,0.007265896838448915,0.008188610887817083
2008-02-14,-0.0020001758213312737,0.006048077342010405,0.0038608298129207963,0.004564366737860093,-0.008589177619707233,-0.027256182336042212,-0.014909422020362606,-0.01977612877829793,-0.0041864272495509836,-0.006411112595164914,-0.00014577259475223592,-0.013421475932895444,-0.02300775077926709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.8,0.0,0.0,0.0,0.0,25.54,0.0027056466821206993,-0.001775884416681639,0.001020347720978254,-0.008699529199953981,0.02429841340271266,-0.0036698237630932162,0.017886372923017424,0.02286670217603004,-0.0014930542795910107,0.000802031813928572,0.0012406042472450363,0.013604062530741423,0.023317475566211332
2008-02-15,-0.007247795951270564,0.002186686108218039,-0.004256299813928388,-9.275783188344988e-05,0.0017877602787665925,0.01590290686591156,-0.006216210831545554,-0.003508590177100923,0.0009005821190455343,0.0017475467132679334,-0.0002915876949992624,0.0008377480947496796,-0.005387608111933173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.02,-0.0020001758213312737,0.006048077342010405,0.0038608298129207963,0.004564366737860093,-0.008589177619707233,-0.027256182336042212,-0.014909422020362606,-0.01977612877829793,-0.0041864272495509836,-0.006411112595164914,-0.00014577259475223592,-0.013421475932895444,-0.02300775077926709
2008-02-18,-0.0002978276650623668,-0.00177269420602566,-0.005403681619350453,-0.0033284477012726077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.007247795951270564,0.002186686108218039,-0.004256299813928388,-9.275783188344988e-05,0.0017877602787665925,0.01590290686591156,-0.006216210831545554,-0.003508590177100923,0.0009005821190455343,0.0017475467132679334,-0.0002915876949992624,0.0008377480947496796,-0.005387608111933173
2008-02-19,-0.007780175774875331,0.005450071525170408,-0.001324757617142458,0.002223957944051058,0.03294411044425871,-0.001490859575395409,0.0048952393479237966,-0.009242812214869889,0.012601361811258815,-0.006977992485238893,-0.0024792183170482263,-0.0008962740066612573,0.0011689008173518811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.59,-0.0002978276650623668,-0.00177269420602566,-0.005403681619350453,-0.0033284477012726077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-20,0.003062320380396333,-0.0004710935050603604,-0.0029332139904340027,-0.0012031852296149337,0.011960330316346912,0.01157169336519992,0.003247251596479428,0.0017766249254105304,-0.002962872045497389,-0.0028378378378378644,-0.0019736842105263497,0.008340870828184466,0.010934864000513134,0.0,0.0,0.0999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,-0.007780175774875331,0.005450071525170408,-0.001324757617142458,0.002223957944051058,0.03294411044425871,-0.001490859575395409,0.0048952393479237966,-0.009242812214869889,0.012601361811258815,-0.006977992485238893,-0.0024792183170482263,-0.0008962740066612573,0.0011689008173518811
2008-02-21,0.000988875945093337,0.0062519548745127995,0.010957977186340617,0.0059584684325011406,-0.02744583997319261,-0.017712375941169145,-0.007822405571509483,-0.0017734741270718501,-0.010401063139551692,0.010299498577043043,0.0028565150516370874,-0.012867362942748706,-0.019351553275140154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,25.12,0.003062320380396333,-0.0004710935050603604,-0.0029332139904340027,-0.0012031852296149337,0.011960330316346912,0.01157169336519992,0.003247251596479428,0.0017766249254105304,-0.002962872045497389,-0.0028378378378378644,-0.0019736842105263497,0.008340870828184466,0.010934864000513134
2008-02-22,-0.003448936427741689,0.0007413247383756261,0.001593230705949411,0.002052484503586305,0.01134244902199999,0.02178831290868355,0.010059164420704647,-0.0008884747313155916,0.0021016990201558894,0.00013413816230722908,0.0002191060473268891,0.007880610357913875,-0.0012208257961270341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.06,0.000988875945093337,0.0062519548745127995,0.010957977186340617,0.0059584684325011406,-0.02744583997319261,-0.017712375941169145,-0.007822405571509483,-0.0017734741270718501,-0.010401063139551692,0.010299498577043043,0.0028565150516370874,-0.012867362942748706,-0.019351553275140154
2008-02-25,0.01959209522314631,0.0006675262011270888,-0.0001574574846608945,-0.0077756391193013474,0.028571426007862888,0.0,0.007806439259839815,0.0057798423706914015,0.012885691512075637,-0.007510729613733891,-0.0021905805038334725,0.013812671311938196,0.021612569856304997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.03,-0.003448936427741689,0.0007413247383756261,0.001593230705949411,0.002052484503586305,0.01134244902199999,0.02178831290868355,0.010059164420704647,-0.0008884747313155916,0.0021016990201558894,0.00013413816230722908,0.0002191060473268891,0.007880610357913875,-0.0012208257961270341
2008-02-26,0.01385345733103116,0.010797197038842077,0.010512821227787184,0.006334454573368786,0.017004219869369397,0.008823045822929254,0.0008012246502271392,0.011494439719671457,-0.00887547010545331,0.0028378378378377533,0.0013172338090010616,0.006917910698780005,0.009655695098107264,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,21.9,0.01959209522314631,0.0006675262011270888,-0.0001574574846608945,-0.0077756391193013474,0.028571426007862888,0.0,0.007806439259839815,0.0057798423706914015,0.012885691512075637,-0.007510729613733891,-0.0021905805038334725,0.013812671311938196,0.021612569856304997
