,mean_abs_shap
vix_main_effect,0.0003470162808489642
surp_nfp,1.7840782025583412e-06
surp_unemp,1.1014811199855025e-06
surp_corecpi,4.075005829329709e-08
surp_gdp,0.0
surp_retsailes,3.739322647129581e-06
surp_ism_pmi,1.8290571156852073e-06
surp_dgorders,2.730836369912285e-06
surp_newhomesales,2.5475968953272705e-06
surp_consconfid,1.8969258233345022e-06
surp_avghourlyearnmings,7.894460077020114e-07
surp_cpi,3.731561528989451e-07
surp_tradebal,2.5199509521147535e-06
surp_indprod,2.089922144182313e-06
surp_fedratedec,0.0
VIXCLS,0.00034701628084896324
