,mean_abs_shap
vix_main_effect,0.0010086225234245605
surp_nfp,6.946925484518455e-06
surp_unemp,1.9728973398807486e-06
surp_corecpi,0.0
surp_gdp,0.0
surp_retsailes,6.180690758973149e-06
surp_ism_pmi,3.031235499689555e-06
surp_dgorders,4.442064694116576e-06
surp_newhomesales,7.895070484788412e-06
surp_consconfid,4.26557945986045e-06
surp_avghourlyearnmings,1.090610569233217e-06
surp_cpi,1.1931209651178659e-06
surp_tradebal,4.7913920841162e-06
surp_indprod,4.866446242291544e-06
surp_fedratedec,0.0
VIXCLS,0.00100862252342456
