,mean_abs_shap
vix_main_effect,0.0003624244107378752
surp_nfp,3.062238421014596e-06
surp_unemp,1.6287792073027159e-06
surp_corecpi,1.0272139533849148e-06
surp_gdp,0.0
surp_retsailes,4.26877753031402e-06
surp_ism_pmi,3.842286748472942e-06
surp_dgorders,3.103555612282767e-06
surp_newhomesales,4.8719101705036044e-06
surp_consconfid,5.949575628482453e-06
surp_avghourlyearnmings,2.072087538178646e-06
surp_cpi,7.853548760311307e-07
surp_tradebal,2.12420293507517e-06
surp_indprod,1.5112660486038455e-06
surp_fedratedec,0.0
VIXCLS,0.00036242441073787576
