,mean_abs_shap
vix_main_effect,0.003080699687548612
surp_nfp,9.912872964891456e-06
surp_unemp,5.934455979305609e-06
surp_corecpi,2.890286397188664e-06
surp_gdp,6.602323707849499e-07
surp_retsailes,3.4701286349099094e-05
surp_ism_pmi,1.8901405780408363e-05
surp_dgorders,1.5050053236930435e-05
surp_newhomesales,5.352454477748913e-05
surp_consconfid,9.546730272300115e-06
surp_avghourlyearnmings,1.4679738013155087e-05
surp_cpi,5.9919248378728916e-06
surp_tradebal,1.433202874517741e-05
surp_indprod,4.3449503321244746e-05
surp_fedratedec,0.0
VIXCLS,0.003080699687548614
