,mean_abs_shap
vix_main_effect,0.003670887379368251
surp_nfp,2.2142549247993328e-05
surp_unemp,1.9920050499476385e-05
surp_corecpi,6.717653073935883e-06
surp_gdp,8.871279058486289e-07
surp_retsailes,4.474595809159815e-05
surp_ism_pmi,1.680624245392814e-05
surp_dgorders,3.234336067916597e-05
surp_newhomesales,9.235600888042042e-06
surp_consconfid,1.3836816820071666e-05
surp_avghourlyearnmings,2.086355047686078e-05
surp_cpi,4.3767608069141625e-06
surp_tradebal,4.4084461792741545e-05
surp_indprod,1.7293980089768632e-05
surp_fedratedec,0.0
VIXCLS,0.003670887379368253
