,mean_abs_shap
vix_main_effect,0.00011613820151721609
surp_nfp,3.216947401795439e-07
surp_unemp,9.749692860874096e-08
surp_corecpi,2.590558465907424e-07
surp_gdp,9.615707066445858e-10
surp_retsailes,2.212033142243254e-07
surp_ism_pmi,1.9061214841575346e-07
surp_dgorders,1.7889557206725473e-07
surp_newhomesales,7.831234691265011e-07
surp_consconfid,3.667982466070225e-07
surp_avghourlyearnmings,7.244891819696697e-08
surp_cpi,2.9637448214043807e-07
surp_tradebal,4.0229348058795136e-07
surp_indprod,3.206470143723733e-07
surp_fedratedec,0.0
VIXCLS,0.00011613820151721615
