,mean_abs_shap
vix_main_effect,6.462950969230948e-05
surp_nfp,3.012529407519857e-07
surp_unemp,6.211879776783798e-08
surp_corecpi,9.522732251543825e-08
surp_gdp,2.4373972959126096e-08
surp_retsailes,7.089354642747431e-07
surp_ism_pmi,7.23372343583112e-07
surp_dgorders,3.7907639877017073e-07
surp_newhomesales,9.95454830033305e-07
surp_consconfid,2.6752129135080396e-07
surp_avghourlyearnmings,1.486325629331266e-07
surp_cpi,2.2184763257970734e-07
surp_tradebal,5.059862366094384e-07
surp_indprod,3.711882228877207e-07
surp_fedratedec,0.0
VIXCLS,6.462950969230955e-05
