,mean_abs_shap
vix_main_effect,0.0004909752344624204
surp_nfp,6.332713275465355e-07
surp_unemp,5.918932717123817e-07
surp_corecpi,1.0489636370899538e-06
surp_gdp,0.0
surp_retsailes,1.2964011705532891e-06
surp_ism_pmi,1.8194236080675722e-06
surp_dgorders,1.1535762942663246e-06
surp_newhomesales,8.779882055419346e-07
surp_consconfid,9.663127955714462e-07
surp_avghourlyearnmings,3.39842846987716e-07
surp_cpi,6.384299601906936e-07
surp_tradebal,1.0203904596741754e-06
surp_indprod,1.4663545150497275e-06
surp_fedratedec,0.0
VIXCLS,0.0004909752344624209
