,mean_abs_shap
vix_main_effect,0.0017197329968132416
surp_nfp,5.276063906814876e-06
surp_unemp,1.1765442588062213e-06
surp_corecpi,2.655908447191848e-06
surp_gdp,0.0
surp_retsailes,4.687910914122238e-06
surp_ism_pmi,4.126425859447526e-06
surp_dgorders,1.1055496975289424e-06
surp_newhomesales,2.901724877616569e-06
surp_consconfid,6.068870842831097e-06
surp_avghourlyearnmings,5.759575259016258e-06
surp_cpi,5.625533370697789e-06
surp_tradebal,4.9293332222030516e-06
surp_indprod,6.158346999269668e-06
surp_fedratedec,0.0
VIXCLS,0.0017197329968132228
