,mean_abs_shap
vix_main_effect,0.00017316402579585846
surp_nfp,8.818387193401366e-07
surp_unemp,4.133438348214667e-07
surp_corecpi,1.6382307417386812e-06
surp_gdp,4.288766227838922e-08
surp_retsailes,1.498937125321274e-06
surp_ism_pmi,1.2390455371489152e-06
surp_dgorders,1.01521973609067e-06
surp_newhomesales,9.808078502916778e-07
surp_consconfid,7.895281843110754e-07
surp_avghourlyearnmings,8.797556012795059e-07
surp_cpi,1.179723181712797e-06
surp_tradebal,1.3826405205646257e-06
surp_indprod,4.505259851330519e-07
surp_fedratedec,0.0
VIXCLS,0.0001731640257958583
