,mean_abs_shap
vix_main_effect,0.0004866035774651526
surp_nfp,4.255337109066665e-06
surp_unemp,1.6560140140208308e-06
surp_corecpi,2.3500734752395064e-06
surp_gdp,5.5119251561916306e-08
surp_retsailes,1.1831265111181487e-06
surp_ism_pmi,6.2773303480769195e-06
surp_dgorders,2.787096858876548e-06
surp_newhomesales,3.1678253484056433e-06
surp_consconfid,1.3398259585951148e-06
surp_avghourlyearnmings,2.4880126283831285e-06
surp_cpi,1.0477566678448986e-06
surp_tradebal,1.1527814822860243e-06
surp_indprod,6.710525085000515e-07
surp_fedratedec,0.0
VIXCLS,0.0004866035774651532
