,mean_abs_shap
vix_main_effect,0.0005324453868940885
surp_nfp,1.4353247075277034e-06
surp_unemp,5.665550242154358e-07
surp_corecpi,1.4994808367812263e-06
surp_gdp,1.1883976443671217e-08
surp_retsailes,2.101607901823431e-06
surp_ism_pmi,9.478860540324425e-07
surp_dgorders,1.2493703545574513e-06
surp_newhomesales,2.2262313560810545e-06
surp_consconfid,7.748644410266642e-07
surp_avghourlyearnmings,4.5900443078045007e-07
surp_cpi,5.72677788481528e-07
surp_tradebal,8.308212454925059e-07
surp_indprod,1.2282666616841034e-06
surp_fedratedec,0.0
VIXCLS,0.0005324453868940885
