,mean_abs_shap
vix_main_effect,0.00024894000339851927
surp_nfp,1.0476427478435411e-06
surp_unemp,1.0795538258494774e-07
surp_corecpi,0.0
surp_gdp,0.0
surp_retsailes,1.0132498956705305e-06
surp_ism_pmi,8.913046957422376e-07
surp_dgorders,5.23221785556067e-07
surp_newhomesales,6.562472806703857e-07
surp_consconfid,1.6029990845780852e-06
surp_avghourlyearnmings,6.952350939882832e-07
surp_cpi,1.8827242370236896e-07
surp_tradebal,1.0396515347972803e-06
surp_indprod,1.2607414196873127e-06
surp_fedratedec,0.0
VIXCLS,0.00024894000339851873
