,mean_abs_shap
vix_main_effect,0.0002153647762288394
surp_nfp,8.381190458793536e-07
surp_unemp,3.8782056139066696e-07
surp_corecpi,7.310003372984308e-07
surp_gdp,0.0
surp_retsailes,1.1522481528314136e-06
surp_ism_pmi,3.2309307959979733e-07
surp_dgorders,2.661646928099684e-06
surp_newhomesales,1.0968374764960149e-06
surp_consconfid,2.1421529352866707e-06
surp_avghourlyearnmings,1.880541642062309e-07
surp_cpi,3.634679495010253e-07
surp_tradebal,1.0265006295785793e-06
surp_indprod,6.731193156056065e-06
surp_fedratedec,0.0
VIXCLS,0.00021536477622883797
