Method,p,Adj.R2,Cp,BIC,target
Fwd (Cp),5,0.02609764774346779,2.982310343923018,-10916.473818050954,ret_CADUSD
Fwd (CV),0,0.0,26.55967322050992,-10918.017380402162,ret_CADUSD
Bwd (Cp),8,0.03145074688419147,0.17001910513886287,-10904.468971301227,ret_CADUSD
Bwd (CV),0,0.0,26.55967322050992,-10918.017380402162,ret_CADUSD
Ridge,29,-0.027857817299030252,84.55966073757031,-10715.703298562283,ret_CADUSD
Lasso,0,0.0,26.55967322050992,-10918.017380402162,ret_CADUSD
PCR,3,0.013296527372625766,14.961713848299041,-10914.431460997246,ret_CADUSD
PLS,1,0.03262813319195812,-8.176873722938808,-10947.569968503945,ret_CADUSD
Fwd (Cp),8,0.019402575480956696,0.19573522214500372,-10540.151257009044,ret_EURUSD
Fwd (CV),0,0.0,13.125433479882304,-10566.940081584537,ret_EURUSD
Bwd (Cp),8,0.019402575480956696,0.19573522214500372,-10540.151257009044,ret_EURUSD
Bwd (CV),0,0.0,13.125433479882304,-10566.940081584537,ret_EURUSD
Ridge,29,-0.027857821319382303,71.12542538262801,-10364.625995555558,ret_EURUSD
Lasso,0,0.0,13.125433479882304,-10566.940081584537,ret_EURUSD
PCR,5,0.0005304763593662054,17.49741305450766,-10537.643034772569,ret_EURUSD
PLS,2,0.031732650447239386,-19.171754501286614,-10589.527710128863,ret_EURUSD
Fwd (Cp),6,0.022491265213900213,3.4788298844646306,-11008.250978128046,ret_GBPUSD
Fwd (CV),0,0.0,21.99687369583785,-11019.72339474631,ret_GBPUSD
Bwd (Cp),11,0.02704828319874253,3.574795217862629,-10983.418531479672,ret_GBPUSD
Bwd (CV),0,0.0,21.99687369583785,-11019.72339474631,ret_GBPUSD
Ridge,29,0.0014405467849490927,48.89876314484559,-10848.380954453296,ret_GBPUSD
Lasso,0,0.0,21.99687369583785,-11019.72339474631,ret_GBPUSD
PCR,2,6.069563902677544e-05,23.891532223892227,-11007.839448006906,ret_GBPUSD
PLS,1,0.02848570657067584,-8.071521675620488,-11044.699596928409,ret_GBPUSD
Fwd (Cp),8,0.03142045556551709,1.9140800117900199,-9425.168176363275,ret_GC
